fecha	rank	iteracion_bayesiana	qsemillas	semilla	corte	ganancia	metrica
20241012.135812	1	45	1	897191	1600	5.699	5.699
20241012.135819	1	45	1	897191	1700	6.229	6.229
20241012.135826	1	45	1	897191	1800	6.389	6.389
20241012.135832	1	45	1	897191	1900	6.389	6.389
20241012.135838	1	45	1	897191	2000	6.899	6.899
20241012.135845	1	45	1	897191	2100	6.599	6.599
20241012.135851	1	45	1	897191	2200	6.369	6.369
20241012.135857	1	45	1	830741	1600	6.899	6.899
20241012.135903	1	45	1	830741	1700	6.649	6.649
20241012.135910	1	45	1	830741	1800	6.759	6.759
20241012.135916	1	45	1	830741	1900	6.859	6.859
20241012.135922	1	45	1	830741	2000	6.599	6.599
20241012.135928	1	45	1	830741	2100	6.289	6.289
20241012.135934	1	45	1	830741	2200	6.379	6.379
20241012.135941	1	45	1	691001	1600	6.919	6.919
20241012.135947	1	45	1	691001	1700	6.609	6.609
20241012.135953	1	45	1	691001	1800	6.629	6.629
20241012.135959	1	45	1	691001	1900	6.359	6.359
20241012.140006	1	45	1	691001	2000	6.889	6.889
20241012.140012	1	45	1	691001	2100	6.679	6.679
20241012.140018	1	45	1	691001	2200	6.399	6.399
20241012.140024	1	45	1	547471	1600	6.559	6.559
20241012.140030	1	45	1	547471	1700	6.229	6.229
20241012.140036	1	45	1	547471	1800	6.019	6.019
20241012.140043	1	45	1	547471	1900	6.889	6.889
20241012.140049	1	45	1	547471	2000	6.979	6.979
20241012.140055	1	45	1	547471	2100	6.739	6.739
20241012.140101	1	45	1	547471	2200	6.869	6.869
20241012.140108	1	45	1	885769	1600	6.139	6.139
20241012.140114	1	45	1	885769	1700	6.619	6.619
20241012.140120	1	45	1	885769	1800	6.759	6.759
20241012.140126	1	45	1	885769	1900	6.859	6.859
20241012.140133	1	45	1	885769	2000	6.499	6.499
20241012.140139	1	45	1	885769	2100	6.569	6.569
20241012.140145	1	45	1	885769	2200	6.219	6.219
20241012.140151	1	45	1	517861	1600	6.549	6.549
20241012.140157	1	45	1	517861	1700	7.099	7.099
20241012.140204	1	45	1	517861	1800	7.219	7.219
20241012.140210	1	45	1	517861	1900	7.309	7.309
20241012.140216	1	45	1	517861	2000	7.409	7.409
20241012.140222	1	45	1	517861	2100	7.119	7.119
20241012.140228	1	45	1	517861	2200	6.829	6.829
20241012.140234	1	45	1	201167	1600	5.339	5.339
20241012.140241	1	45	1	201167	1700	5.789	5.789
20241012.140248	1	45	1	201167	1800	5.959	5.959
20241012.140254	1	45	1	201167	1900	6.019	6.019
20241012.140300	1	45	1	201167	2000	5.739	5.739
20241012.140306	1	45	1	201167	2100	6.239	6.239
20241012.140313	1	45	1	201167	2200	6.409	6.409
20241012.140319	1	45	1	914951	1600	6.189	6.189
20241012.140325	1	45	1	914951	1700	5.939	5.939
20241012.140331	1	45	1	914951	1800	5.999	5.999
20241012.140337	1	45	1	914951	1900	5.629	5.629
20241012.140343	1	45	1	914951	2000	5.739	5.739
20241012.140350	1	45	1	914951	2100	6.649	6.649
20241012.140356	1	45	1	914951	2200	6.659	6.659
20241012.140402	1	45	1	558209	1600	6.519	6.519
20241012.140408	1	45	1	558209	1700	6.659	6.659
20241012.140414	1	45	1	558209	1800	7.229	7.229
20241012.140421	1	45	1	558209	1900	6.919	6.919
20241012.140427	1	45	1	558209	2000	7.099	7.099
20241012.140433	1	45	1	558209	2100	6.809	6.809
20241012.140439	1	45	1	558209	2200	6.519	6.519
20241012.140445	1	45	1	610523	1600	5.819	5.819
20241012.140451	1	45	1	610523	1700	5.459	5.459
20241012.140457	1	45	1	610523	1800	5.929	5.929
20241012.140503	1	45	1	610523	1900	6.459	6.459
