Feature	Gain	Cover	Frequency
ctrx_quarter_normalizado	0.252091590993499	0.0256736491121712	0.0234604105571848
ctrx_quarter_lag1	0.102795669494797	0.00708928076366315	0.00879765395894428
mcaja_ahorro_rank	0.0794889540425375	0.0124469724357506	0.00879765395894428
rf_008_005	0.0725244390429208	0.00909968504795019	0.00586510263929619
mtarjeta_visa_consumo_rank	0.0434627571149402	0.0143670722041797	0.0146627565982405
mpayroll_rank	0.0394998002808507	0.0236407439526828	0.0175953079178886
rf_012_010	0.0376123546605794	0.00830688665248083	0.00586510263929619
mcuentas_saldo_rank	0.0339574798536294	0.0314664580431674	0.0351906158357771
mprestamos_personales_rank	0.0306749262315471	0.0318488976678257	0.0205278592375367
ctarjeta_visa_transacciones	0.0239651977942466	0.0045498425239751	0.00293255131964809
ccomisiones_mantenimiento_tend6	0.0214233956036426	0.0154516294396334	0.0117302052785924
vm_status05	0.0208966167947142	0.01460841102281	0.0117302052785924
cproductos_tend6	0.014444562076805	0.0311658945128869	0.0205278592375367
cpayroll_trx	0.0140069050787334	0.0180008506685394	0.0146627565982405
foto_mes	0.0101587417675513	0.0183297848675519	0.0205278592375367
rf_018_006	0.0086384170930639	0.00382364370895095	0.00293255131964809
vm_mpagominimo_rank_lag1	0.00858946338256869	0.0223311027114533	0.0175953079178886
mprestamos_personales_rank_lag1	0.0079742222527117	0.0045498425239751	0.00293255131964809
mrentabilidad_annual_rank_delta1	0.00754338182827777	0.0154265699364828	0.0146627565982405
vm_mpagominimo_rank	0.00692316580395537	0.00311919323149593	0.00586510263929619
vmr_mpagominimo_lag1	0.00661254514408332	0.0106395275508542	0.0117302052785924
mcuentas_saldo_rank_tend6	0.00651265192863716	0.016881375686954	0.0175953079178886
mactivos_margen_rank	0.00643333750368851	0.0144639237974373	0.0175953079178886
rf_011_015	0.00622986785714006	0.0022343594836147	0.00293255131964809
rf_011_012	0.00607074124668825	0.00696353172533099	0.00586510263929619
vm_msaldototal_rank	0.0059322028441683	0.00859066859356436	0.0117302052785924
mrentabilidad_annual_rank_lag1	0.0054131014162832	0.0172952713846361	0.0205278592375367
rf_003_012	0.00507983747087844	0.0209264912210465	0.0146627565982405
