Feature	Gain	Cover	Frequency
ctrx_quarter	0.188593919089858	0.0287831967014229	0.0260416666666667
ctrx_quarter_normalizado	0.113680152651041	0.0173199456901954	0.015625
rf_008_005	0.0966478556541228	0.0188884651648508	0.015625
rf_012_010	0.0957683413257471	0.0111961382471529	0.0104166666666667
mcaja_ahorro_rank	0.0771688240671015	0.0224199770772469	0.0208333333333333
mtarjeta_visa_consumo_rank	0.0739689403112141	0.0488423759768881	0.0520833333333333
mcuentas_saldo_rank	0.0447002016286616	0.0627243252564959	0.0729166666666667
cpayroll_trx	0.0437875462975058	0.0413976881051822	0.0364583333333333
mpayroll_rank	0.0279622406847088	0.0387983112225059	0.0364583333333333
rf_016_007	0.0247352903795732	0.00629615505495025	0.00520833333333333
rf_018_006	0.0236859857306902	0.0162080692839483	0.015625
mcaja_ahorro_rank_lag1	0.0225094790122806	0.0175041649805065	0.0208333333333333
ccomisiones_mantenimiento_tend6	0.0128394257746081	0.0431363683036184	0.0364583333333333
mprestamos_personales_rank	0.0119382748212709	0.0188884651648508	0.015625
vm_mpagominimo_rank_lag1	0.0119217332191901	0.0314807752747513	0.0260416666666667
rf_005_010	0.0105898496308172	0.0140527348285678	0.015625
vm_mpagominimo_rank	0.0103823113470618	0.0182061560692498	0.0260416666666667
vm_msaldototal_rank	0.00983857982657428	0.00305799856415174	0.00520833333333333
cproductos	0.00920147578404673	0.0433230868946459	0.046875
cproductos_tend6	0.00754692306256709	0.075553860659403	0.0625
mprestamos_personales_rank_lag1	0.00673268608885464	0.025184620219801	0.0208333333333333
mpayroll_sobre_edad_rank	0.00587398872744703	0.00542504461772467	0.00520833333333333
mpasivos_margen_rank_lag1	0.00577142353239525	0.0109822397608336	0.0104166666666667
mcuentas_saldo_rank_tend6	0.00540031273183633	0.0323864593718882	0.03125
mactivos_margen_rank_tend6	0.0048561453756396	0.0226107570319388	0.03125
rf_014_012	0.00463705094057987	0.00529122789186276	0.00520833333333333
mrentabilidad_annual_rank_delta1	0.00449160855477389	0.0374361923320204	0.0364583333333333
Visa_msaldototal_rank	0.00446977619297736	0.00258688037909393	0.00520833333333333
foto_mes	0.0036030683375923	0.0142562195619017	0.0208333333333333
mcuenta_corriente_rank	0.00341514506014012	0.00471472252659308	0.0104166666666667
kmes	0.00306617619589787	0.00848345973199582	0.0104166666666667
kmes_tend6	0.00305759192799496	0.0243139263326948	0.0208333333333333
mcomisiones_mantenimiento_rank_tend6	0.00231545590509016	0.0115982132499178	0.0104166666666667
cprestamos_personales	0.00223151572837815	0.00629615505495025	0.00520833333333333
mcuentas_saldo_rank_delta1	0.00203810902026142	0.0245595867656195	0.0260416666666667
ctarjeta_visa_transacciones_tend6	0.00203648250101636	0.0109595377793255	0.0104166666666667
mrentabilidad_rank_tend6	0.00201598382634904	0.00234611441007235	0.00520833333333333
ctrx_quarter_tend6	0.00197783140606998	0.0167535416653216	0.015625
kmes_lag1	0.00196465870631543	0.0188884651648508	0.015625
vmr_mpagominimo	0.00164679842894368	0.0183152922005364	0.0260416666666667
rf_012_011	0.00159064596454877	0.025184620219801	0.0208333333333333
mrentabilidad_annual_rank_lag1	0.00154136972290037	0.0141660364610485	0.015625
cprestamos_personales_lag1	0.00139453867729375	0.0188884651648508	0.015625
Visa_msaldototal_rank_tend6	0.00133190742230521	0.00489258942758307	0.00520833333333333
mactivos_margen_rank_lag1	0.00130033703300294	0.0188884651648508	0.015625
vmr_msaldototal_lag1	0.000927395045304447	0.00347361144579756	0.00520833333333333
vm_mconsumototal_rank_tend6	0.000756766804786061	0.00824998339006399	0.0104166666666667
Visa_status	0.000687296704202003	0.00629615505495025	0.00520833333333333
ctarjeta_visa_transacciones	0.000483785955094603	0.00346059425456586	0.00520833333333333
vm_status03	0.000406472411337708	0.00527571139991457	0.00520833333333333
mactivos_margen_rank	0.000264103856312219	0.00542546116784408	0.00520833333333333
vmr_msaldototal	0.000246220915716854	0.00433139227920188	0.00520833333333333
