Feature	Gain	Cover	Frequency
rf_012_010	0.243739933317858	0.0286879169662157	0.0211640211640212
rf_005_010	0.110269114960439	0.0209146286332405	0.0158730158730159
rf_018_006	0.0630964232565117	0.0168917334288369	0.0158730158730159
cpayroll_trx	0.0567202388702652	0.0760289594130353	0.0529100529100529
mtarjeta_visa_consumo_rank	0.055466274040154	0.0455507277012633	0.0423280423280423
rf_016_007	0.0534134320640679	0.0286506947168173	0.0211640211640212
ctrx_quarter_normalizado	0.0533911463576118	0.0230736448491889	0.0211640211640212
mpayroll_rank	0.045443350731463	0.0593097561401936	0.0423280423280423
mpayroll_sobre_edad_rank	0.035883263632834	0.0247027470145807	0.0211640211640212
mcuentas_saldo_rank	0.0343638932731023	0.0480428578991586	0.0582010582010582
rf_008_005	0.032795824845104	0.00760289594130353	0.00529100529100529
mprestamos_personales_rank	0.0297806300376066	0.0862140231555087	0.0793650793650794
mcaja_ahorro_rank	0.0224171720711034	0.0258561337425601	0.0264550264550265
rf_014_012	0.0153959940192109	0.00352177809679369	0.0105820105820106
mprestamos_personales_rank_lag1	0.0126459570636196	0.0169661779276337	0.0264550264550265
vm_mpagominimo_rank_lag1	0.010156475732307	0.028137631279164	0.0264550264550265
vm_mpagominimo_rank	0.0101107346356893	0.0076951970597441	0.0158730158730159
ccomisiones_mantenimiento_tend6	0.00868001751489972	0.0602399351226253	0.0476190476190476
cproductos_tend6	0.00796555960578133	0.0651126545210635	0.0476190476190476
cproductos	0.00714847881340421	0.033258205588292	0.0264550264550265
mpasivos_margen_rank	0.00676413650771958	0.00176088904839685	0.00529100529100529
rf_015_013	0.00673837861707439	0.00369267349183556	0.00529100529100529
ctrx_quarter	0.00609771321008221	0.00178478170848364	0.00529100529100529
rf_009_007	0.00562098219889463	0.00307825487507723	0.00529100529100529
mcuentas_saldo_rank_tend6	0.00552914350209922	0.0174842713989894	0.0264550264550265
mcomisiones_mantenimiento_rank_tend6	0.00529830961029735	0.0293723788022811	0.0264550264550265
mrentabilidad_annual_rank_delta1	0.0049893054813372	0.0439707941153133	0.037037037037037
mactivos_margen_rank	0.00441438571316131	0.00636123212184553	0.0105820105820106
cprestamos_personales	0.0040577142368376	0.0137445670920357	0.0211640211640212
mpasivos_margen_rank_lag1	0.00400728061265533	0.00910939103519728	0.0105820105820106
kmes_tend6	0.00386945081192255	0.0133144992104733	0.0264550264550265
mactivos_margen_rank_lag1	0.00289720351836633	0.00624981687533552	0.0105820105820106
rf_012_011	0.00249315744840621	0.00180200957391465	0.00529100529100529
ctarjeta_visa_transacciones_tend6	0.0024337602797348	0.00906562974198568	0.0105820105820106
mcaja_ahorro_rank_lag1	0.00226387466694822	0.0142797626779799	0.0105820105820106
mcaja_ahorro_rank_tend6	0.00224618808197921	0.00318929286905955	0.0105820105820106
mactivos_margen_rank_tend6	0.00213102334358061	0.00661059604264614	0.0158730158730159
kmes_lag1	0.00210084460171719	0.0146532426803893	0.0158730158730159
Visa_msaldototal_rank	0.00192048796797381	0.00149718953154416	0.00529100529100529
foto_mes	0.00178805116643028	0.00617600113075158	0.0158730158730159
vm_status02	0.00148948008216347	0.00608948455106886	0.00529100529100529
ctrx_quarter_tend6	0.00125979793980449	0.0119260841577454	0.0105820105820106
mcuentas_saldo_rank_delta1	0.00125704874675765	0.0112856351165767	0.0105820105820106
vmr_mpagominimo_lag1	0.0011811299066787	0.00131019802865434	0.00529100529100529
mcuenta_corriente_rank	0.000970429905633823	0.00233305538205432	0.00529100529100529
mcuenta_corriente_rank_tend6	0.000936150540830179	0.00189405919067009	0.00529100529100529
vm_status05	0.000931472619520861	0.00608948455106886	0.00529100529100529
mrentabilidad_annual_rank_lag1	0.000890110145403825	0.00369267349183556	0.00529100529100529
vm_status04	0.000824716350936883	0.00608948455106886	0.00529100529100529
rf_006_004	0.00067490550130723	0.00581811423281989	0.00529100529100529
vmr_mpagominimo	0.000562399656018416	0.00760289594130353	0.00529100529100529
ccomisiones_otras	0.000558296259738605	0.00692057186956167	0.00529100529100529
kmes	0.000508720078201902	0.00139734336254987	0.00529100529100529
mv_status07_rank	0.000496142021735916	0.00692057186956167	0.00529100529100529
ccomisiones_otras_lag1	0.00047616794929504	0.00223798774507739	0.00529100529100529
mtarjeta_visa_consumo_rank_tend6	0.000437725875722216	0.00473678273762854	0.00529100529100529
