fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_sum_hessian_in_leaf	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	is_unbalance	scale_pos_weight	drop_rate	max_drop	skip_drop	feature_fraction	extra_trees	seed	learning_rate	num_leaves	min_data_in_leaf	lambda_l1	lambda_l2	min_gain_to_split	estimulos	qsemillas	ganancia	metrica	iteracion_bayesiana
20241010.142831	627	60460	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0.001	31	1	1	1	1	FALSE	1	0.1	50	0.5	0.5	FALSE	662287	0.0284910843804391	866	34992	685.692750169713	967.327307099873	16.6054878235891	201	1	-503648.379052369	-503648.379052369	20
20241010.142849	627	60460	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0.001	31	71	1	1	1	FALSE	1	0.1	50	0.5	0.5	FALSE	662287	0.136411898881859	6087	3681	50.223010823075	717.505472295309	11.265287405271	2436	1	11440728.1795511	11440728.1795511	21
20241010.142903	627	60460	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0.001	31	1	1	1	1	FALSE	1	0.1	50	0.5	0.5	FALSE	662287	0.142318307387303	7714	45242	830.454075909935	791.409574874314	8.40823314379571	201	1	-503648.379052369	-503648.379052369	22
20241010.142920	627	60460	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0.001	31	54	1	1	1	FALSE	1	0.1	50	0.5	0.5	FALSE	662287	0.0944283761918046	1930	1811	904.022309469441	882.148593865284	2.17528838837985	2630	1	10859625.9351621	10859625.9351621	23
20241010.142936	627	60460	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0.001	31	1	1	1	1	FALSE	1	0.1	50	0.5	0.5	FALSE	662287	0.0422923261776381	3615	35725	170.347820542513	57.8528966000077	19.5235059583147	201	1	-503648.379052369	-503648.379052369	24
20241010.142954	627	60460	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0.001	31	35	1	1	1	FALSE	1	0.1	50	0.5	0.5	FALSE	662287	0.124533416855136	3116	20722	504.171969529481	963.950088110418	12.5776161748194	2177	1	10401269.3266833	10401269.3266833	25
20241010.143016	627	60460	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0.001	31	121	1	1	1	FALSE	1	0.1	50	0.5	0.5	FALSE	662287	0.0533735442305921	6089	5140	310.969976500111	760.694679779552	6.58491870421433	2681	1	10847573.5660848	10847573.5660848	26
20241010.143034	627	60460	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0.001	31	68	1	1	1	FALSE	1	0.1	50	0.5	0.5	FALSE	662287	0.10423350990536	3286	13587	228.668869185245	549.204448732293	8.38005273255076	2094	1	11076104.7381546	11076104.7381546	27
20241010.143053	627	60460	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0.001	31	53	1	1	1	FALSE	1	0.1	50	0.5	0.5	FALSE	662287	0.098486939415599	1762	2956	202.750469026529	558.022965201963	10.8757925962726	2289	1	10993847.8802993	10993847.8802993	28
20241010.143114	627	60460	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0.001	31	145	1	1	1	FALSE	1	0.1	50	0.5	0.5	FALSE	662287	0.133779183526068	3676	4806	124.330424043103	637.886331535933	0.0530996123957797	3035	1	11377294.2643392	11377294.2643392	29
