Feature	Gain	Cover	Frequency
ctrx_quarter_normalizado	0.289095538585727	0.0225755298107334	0.0204081632653061
rf_012_010	0.103280461863861	0.00560508444014283	0.00408163265306122
rf_008_005	0.082345880462215	0.0112101688802856	0.00816326530612245
mcaja_ahorro_rank	0.0587826419054811	0.0112101688802856	0.00816326530612245
mcuentas_saldo_rank	0.0420433660960994	0.0421110939602573	0.0489795918367347
mpayroll_rank	0.0410615470779865	0.0266031992368334	0.0204081632653061
mtarjeta_visa_consumo_rank	0.0403397775645494	0.016182803997725	0.0163265306122449
rf_018_006	0.0338868319144288	0.00560508444014283	0.00408163265306122
ctarjeta_visa_transacciones	0.0293555211846546	0.00866257178443509	0.00816326530612245
mprestamos_personales_rank	0.0248319562882362	0.0280254222007141	0.0204081632653061
ccomisiones_mantenimiento_tend6	0.0209735595666289	0.0217376410715668	0.0163265306122449
cpayroll_trx	0.0205918561593283	0.0175733210588844	0.0163265306122449
vm_status05	0.0152074026807422	0.00893735627468622	0.00816326530612245
vm_mpagominimo_rank_lag1	0.0140841602630078	0.029800952753106	0.0285714285714286
rf_014_012	0.0135000180241088	0.00511577521627458	0.00408163265306122
vm_mpagominimo_rank	0.013480614273233	0.00952076342622143	0.0122448979591837
cproductos_tend6	0.012036954725741	0.0392355910809998	0.0285714285714286
mrentabilidad_annual_rank_delta1	0.00939116102386991	0.0312789855223617	0.0285714285714286
mprestamos_personales_rank_lag1	0.00928499149978646	0.0168152533204285	0.0122448979591837
cproductos	0.00795891512871844	0.0373476992593149	0.036734693877551
foto_mes	0.00726341322798558	0.0228811858378447	0.0244897959183673
vm_msaldototal_rank	0.00661545772275555	0.00761738948244749	0.00816326530612245
mpasivos_margen_rank	0.00572699982632725	0.00195566087106869	0.00408163265306122
mcuentas_saldo_rank_tend6	0.00536283007678697	0.0214702731667476	0.0326530612244898
mrentabilidad_annual_rank_lag1	0.00493699273262088	0.0170433133224588	0.0244897959183673
mpasivos_margen_rank_lag1	0.00488622463991389	0.0124619030865511	0.0122448979591837
mcuentas_saldo_rank_delta1	0.00454750415299198	0.029210963382	0.0326530612244898
mactivos_margen_rank	0.0044543059433548	0.0114530620531797	0.0122448979591837
kmes_tend6	0.00354301604351903	0.0123756852809055	0.0122448979591837
mpayroll_sobre_edad_rank	0.00342309092924431	0.0079983238516924	0.00816326530612245
Master_fechaalta_lag1	0.00340737818230972	0.0155911458948968	0.0204081632653061
mactivos_margen_rank_tend6	0.00337817873580531	0.0132181166786491	0.0122448979591837
rf_003_012	0.00332692425631924	0.0224203377605713	0.0163265306122449
rf_011_012	0.00324868600276841	0.00428928947720953	0.00408163265306122
ctrx_quarter	0.00322359432351984	0.0116470057622233	0.0122448979591837
rf_012_011	0.0030980031968299	0.0280254222007141	0.0204081632653061
ctrx_quarter_tend6	0.002655934119392	0.0113305029789179	0.0122448979591837
mv_status07_rank	0.00257125751313202	0.00560508444014283	0.00408163265306122
rf_013_005	0.00248981520832407	0.00430690386761024	0.00408163265306122
Visa_fechaalta	0.00225786950661343	0.0277741853692092	0.0285714285714286
mcaja_ahorro_rank_lag1	0.00193120934711718	0.00243542124119338	0.00408163265306122
vmr_msaldototal_tend6	0.00189790532300334	0.00532779685230844	0.00408163265306122
rf_013_006	0.00184958001927877	0.0238465471391217	0.0204081632653061
mttarjeta_visa_debitos_automaticos_rank_tend6	0.00182664352922866	0.0216076654118731	0.0163265306122449
mactivos_margen_rank_lag1	0.00176715041601747	0.0193988208556236	0.0163265306122449
Visa_mpagominimo_rank_tend6	0.00175348986357009	0.0087111504190139	0.00816326530612245
vmr_msaldototal	0.00169181434627418	0.00990772377112974	0.00816326530612245
mrentabilidad_annual_rank	0.00163563870540239	0.018238588772124	0.0204081632653061
Visa_Fvencimiento_tend6	0.00159797429746738	0.00202157577409452	0.00408163265306122
vmr_mpagominimo	0.00143156291640272	0.00841207661147336	0.0122448979591837
Master_Fvencimiento	0.00116990979127514	0.00903497708043333	0.0122448979591837
chomebanking_transacciones	0.00116099761055137	0.00636064908101554	0.00816326530612245
mcomisiones_mantenimiento_rank_tend6	0.00115219809636989	0.00492238775113833	0.00408163265306122
kmes_lag1	0.00114695927364031	0.0133876783630854	0.0122448979591837
vmr_mpagominimo_lag1	0.00109725523668399	0.0110965097085421	0.0122448979591837
vm_mconsumototal_rank_tend6	0.000933710730384164	0.00792712463154635	0.00816326530612245
vm_status01_tend6	0.000904123587504138	0.0143235587372707	0.0122448979591837
Visa_mconsumototal_rank_tend6	0.000875896605882461	0.00512152306998429	0.00816326530612245
