Feature	Gain	Cover	Frequency
rf_007_002	0.0813892808349308	0.00219326330739506	0.00144927536231884
ctrx_quarter	0.0666603589984176	0.00518511766770001	0.00434782608695652
mcaja_ahorro_rank	0.0563633287422715	0.0116630775077561	0.0108695652173913
ctrx_quarter_normalizado	0.0448460322136566	0.00563823140593108	0.00507246376811594
rf_008_005	0.0409084104033144	0.00219553654483903	0.00144927536231884
mtarjeta_visa_consumo_rank	0.0278256743060999	0.0110685848335514	0.0101449275362319
rf_005_010	0.0267778487143132	0.00109663165369753	0.00072463768115942
mcuentas_saldo_rank	0.0243974834147214	0.0172657587666717	0.0166666666666667
cpayroll_trx	0.0187757526717403	0.00508567037662669	0.0036231884057971
mcaja_ahorro_rank_lag1	0.0177932787605441	0.00616581421175464	0.0072463768115942
ccomisiones_mantenimiento_tend6	0.0169138005676606	0.00437327062776739	0.00289855072463768
cproductos_tend6	0.0165062530432295	0.0129808431267872	0.00869565217391304
mpayroll_sobre_edad_rank	0.0142941628173655	0.0042196216872768	0.00289855072463768
rf_016_007	0.0129238989061206	0.00109890489114151	0.00072463768115942
cproductos	0.0124444035388087	0.0125258669771562	0.0115942028985507
mprestamos_personales_rank	0.0117121570846119	0.00441610608996477	0.00289855072463768
mrentabilidad_annual_rank_lag1	0.0112600222822392	0.0127627492741799	0.0144927536231884
mpayroll_rank	0.0108802969835681	0.00300954726860387	0.00217391304347826
mcuentas_saldo_rank_tend6	0.0107180466288367	0.0114819853875202	0.0115942028985507
vm_mpagominimo_rank	0.0097127433185594	0.00522965121087964	0.00507246376811594
mcuentas_saldo_rank_delta1	0.00958204871633553	0.0160097539962693	0.0159420289855072
ctarjeta_visa_transacciones	0.00828913053815162	0.00451445784492051	0.00579710144927536
mrentabilidad_annual_rank_delta1	0.0079457878959559	0.010984091610483	0.0108695652173913
Visa_msaldototal_rank_tend6	0.00743303181748845	0.00722886768344834	0.00797101449275362
mactivos_margen_rank_tend6	0.00720598129670691	0.00857991021205088	0.00942028985507246
vm_mpagominimo_rank_lag1	0.00674196237740584	0.0103103095097684	0.00869565217391304
mprestamos_personales_rank_lag1	0.00671221296209742	0.00328411600807235	0.00217391304347826
vm_mlimitecompra_rank_tend6	0.00668682955528158	0.0133108459938052	0.0152173913043478
rf_012_010	0.00617126908833643	0.00193761995435777	0.00144927536231884
ctrx_quarter_normalizado_lag1	0.00610444552452269	0.00636262727527788	0.0072463768115942
mcuenta_corriente_rank	0.00592218877834966	0.0123508550823728	0.0130434782608696
rf_013_006	0.00586143696615587	0.0122193907482632	0.00869565217391304
mcomisiones_mantenimiento_rank_lag1	0.00578947757505779	0.0052786490637384	0.00507246376811594
mcomisiones_mantenimiento_rank_tend6	0.00551066383698538	0.00754638143872595	0.00579710144927536
kmes_lag1	0.00531004408169953	0.00374128322993846	0.00434782608695652
mcuenta_corriente_rank_tend6	0.0052591123955811	0.00985541552534627	0.00869565217391304
mactivos_margen_rank	0.00515383205211148	0.00711071411316735	0.00652173913043478
rf_015_013	0.00513908473200893	0.00051903762410644	0.00072463768115942
rf_012_011	0.00513729688428802	0.00636643426328647	0.00434782608695652
mcuenta_corriente_rank_lag1	0.00508537446657296	0.0109284931525158	0.0108695652173913
Visa_mfinanciacion_limite_rank_tend6	0.00458599567975119	0.0105656242019704	0.0108695652173913
Visa_fechaalta	0.00457558605885153	0.00955118514549432	0.0101449275362319
Visa_fechaalta_lag1	0.00456858733744151	0.00792749106562908	0.0072463768115942
rf_003_012	0.00451989619256366	0.00318140949704923	0.00217391304347826
vm_Fvencimiento	0.00451940660937783	0.00975391410405249	0.00942028985507246
Master_mlimitecompra_rank_delta1	0.00425313757730228	0.00880052379772854	0.00869565217391304
foto_mes	0.00423107072835405	0.00650956605704829	0.00579710144927536
Master_fechaalta_lag1	0.00421294753608663	0.00731746916695762	0.0072463768115942
mrentabilidad_annual_rank_tend6	0.0042129449721783	0.00911987257600309	0.0108695652173913
