Feature	Gain	Cover	Frequency
rf_005_010	0.158215197370788	0.0998196432341826	0.1
ctrx_quarter_normalizado	0.154824101598844	0.0635450682439737	0.0636363636363636
rf_018_006	0.111508699803715	0.109198278429744	0.109090909090909
rf_010_008	0.0973459626588409	0.0362947929565608	0.0363636363636364
rf_016_007	0.0905646548755888	0.154824392371949	0.154545454545455
ctrx_quarter	0.0836166891602948	0.0635905065601048	0.0636363636363636
rf_008_005	0.0648577157825803	0.0999615858639314	0.1
rf_014_012	0.0410449476162724	0.01814885550678	0.0181818181818182
mcaja_ahorro_rank	0.0345587133204046	0.145537675971864	0.145454545454545
rf_012_010	0.0292228313259002	0.0181219676958584	0.0181818181818182
rf_004_015	0.028183389362716	0.00907515726763981	0.00909090909090909
ctrx_quarter_normalizado_lag1	0.0272786995456573	0.00907515726763981	0.00909090909090909
cpayroll_trx	0.0169062885265352	0.0455008459238808	0.0454545454545455
mtarjeta_visa_consumo_rank	0.0163172007132133	0.0363469011172615	0.0363636363636364
ctrx_quarter_lag1	0.0148465765304308	0.00906202601114323	0.00909090909090909
rf_019_007	0.0116460949549365	0.00906098384792921	0.00909090909090909
mpayroll_rank	0.00647779221969305	0.0182240996908319	0.0181818181818182
vm_msaldototal_rank	0.00491301712461801	0.0272867509999035	0.0272727272727273
rf_006_004	0.00382850755810152	0.00913997981955152	0.00909090909090909
mcaja_ahorro_rank_lag1	0.00273075982481758	0.00908224397749511	0.00909090909090909
mcuentas_saldo_rank	0.00111216012605178	0.00910308724177541	0.00909090909090909
