Feature	Gain	Cover	Frequency
ctrx_quarter	0.119025457376066	0.0260330728767445	0.025974025974026
ctrx_quarter_normalizado	0.0891697815563097	0.0422964783527035	0.0422077922077922
rf_018_006	0.0783213381224051	0.0130330882941146	0.012987012987013
rf_010_008	0.0730519801582905	0.00975948611869455	0.00974025974025974
ctrx_quarter_normalizado_lag1	0.0612592443866042	0.01301947446549	0.012987012987013
cpayroll_trx	0.0601392589727209	0.00650252306714905	0.00649350649350649
rf_005_010	0.0505605707478489	0.00652276927382151	0.00649350649350649
ctarjeta_visa_transacciones	0.0433935652206783	0.00975547178461294	0.00974025974025974
mtarjeta_visa_consumo_rank	0.042404275432117	0.00977065643961729	0.00974025974025974
mcaja_ahorro_rank	0.0412376316854905	0.0260525627596045	0.025974025974026
rf_008_005	0.0394158312486628	0.00977734699641997	0.00974025974025974
rf_016_007	0.0385287053521978	0.00977112186965573	0.00974025974025974
ctrx_quarter_lag1	0.0317703154494256	0.0032500397797236	0.00324675324675325
mpasivos_margen_rank	0.0243629398359488	0.00325248328742545	0.00324675324675325
mcaja_ahorro_rank_lag1	0.0231708528805801	0.0260487811405421	0.025974025974026
mcuentas_saldo_rank	0.0225008301447515	0.0130355899805712	0.012987012987013
mcuentas_saldo_rank_tend6	0.014865590325472	0.0423343527220821	0.0422077922077922
ccomisiones_mantenimiento	0.0145325599697328	0.0260378435346386	0.025974025974026
cproductos	0.0140902471262833	0.0618783418240378	0.0616883116883117
mrentabilidad_annual_rank_lag1	0.011642765248842	0.0651039465267429	0.0649350649350649
kmes_lag1	0.0115511096485485	0.0293268049013274	0.0292207792207792
mactivos_margen_rank_tend6	0.00960278800785972	0.0293219178859237	0.0292207792207792
mcuentas_saldo_rank_delta1	0.00940632779193666	0.0423268476627122	0.0422077922077922
vmr_mpagominimo	0.00916129172577277	0.0162945311097801	0.0162337662337662
vm_mpagominimo_rank	0.00528732210795632	0.0151711575332324	0.0162337662337662
kmes_tend6	0.00506745466998115	0.00651497332067752	0.00649350649350649
Visa_mpagominimo_rank_lag1	0.00499415983624666	0.0423241714399911	0.0422077922077922
ctrx_quarter_tend6	0.00445126576665823	0.0227853602472132	0.0227272727272727
vmr_mpagominimo_lag1	0.00391491385331512	0.00976210416266082	0.00974025974025974
Visa_mconsumototal_rank_tend6	0.00339205960630505	0.0325585765520419	0.0324675324675325
vm_msaldototal_rank	0.00324536280695643	0.00325713758780992	0.00324675324675325
vm_Fvencimiento	0.00292180206194216	0.0293030097906118	0.0292207792207792
mcuenta_corriente_rank_tend6	0.00286002639604254	0.0162956365061214	0.0162337662337662
mrentabilidad_annual_rank_delta1	0.00266255521247278	0.0228046755938087	0.0227272727272727
Visa_msaldototal_rank_delta1	0.00230636366582013	0.022762612354084	0.0227272727272727
Master_fechaalta_lag1	0.00229521856059527	0.0228060137051693	0.0227272727272727
vm_Fvencimiento_lag1	0.0021240349636279	0.0162774265558672	0.0162337662337662
foto_mes	0.002068662932625	0.00977193637222302	0.00974025974025974
vmr_msaldototal	0.00201861261332681	0.00976565306670398	0.00974025974025974
kmes	0.00189118883340004	0.0227882110061987	0.0227272727272727
mrentabilidad_rank_tend6	0.00186488341629667	0.0127442307765031	0.012987012987013
thomebanking	0.00155872134660966	0.0195473634697344	0.0194805194805195
Visa_mlimitecompra_rank_lag1	0.00151773746487183	0.0162708523565741	0.0162337662337662
Visa_msaldototal_rank_tend6	0.00149979940830126	0.0162585184605552	0.0162337662337662
mrentabilidad_rank	0.00140079901582659	0.0130220343307014	0.012987012987013
mcomisiones_mantenimiento_rank	0.00122925489231353	0.00977548527626618	0.00974025974025974
Master_Fvencimiento_lag1	0.00104882217817661	0.00975058476920924	0.00974025974025974
Visa_mfinanciacion_limite_rank_lag1	0.000896805671193711	0.00977996504038624	0.00974025974025974
Master_Fvencimiento	0.000753771888886055	0.00651724229211495	0.00649350649350649
Visa_mpagominimo_rank	0.000724298311265845	0.00597181646580936	0.00649350649350649
Visa_cconsumos_delta1	0.000611821953678016	0.00651095898659591	0.00649350649350649
Visa_mlimitecompra_rank_delta1	0.000419495115853387	0.00650659557998546	0.00649350649350649
Visa_fechaalta_lag1	0.000319408219454292	0.00325038885225243	0.00324675324675325
mcomisiones_rank_lag1	0.000295703043661442	0.00325510133139171	0.00324675324675325
mpasivos_margen_rank_delta1	0.000264068551325988	0.00325806844788682	0.00324675324675325
vm_fechaalta_tend6	0.000263687411484377	0.0028889242486432	0.00324675324675325
mrentabilidad_annual_rank	0.00025756086509219	0.0032608028493627	0.00324675324675325
chomebanking_transacciones	0.000237092457736116	0.00299155157212086	0.00324675324675325
Visa_cconsumos_tend6	0.000170006486155532	0.00298532644535662	0.00324675324675325
