Feature	Gain	Cover	Frequency
ctrx_quarter_normalizado	0.133165365973031	0.0171194702546313	0.00953079178885631
ctrx_quarter	0.0981177330192241	0.0163997722428071	0.0129521016617791
mcaja_ahorro_rank	0.0557830847165579	0.0117624933007056	0.00928641251221896
mprestamos_personales_rank	0.0322508687983817	0.0248861276753171	0.0417888563049853
cpayroll_trx	0.0315060396050342	0.0280720524212832	0.0227272727272727
rf_005_010	0.0306301314728699	0.00685713387358071	0.00293255131964809
rf_001_003	0.0239932277936867	0.00285420671365253	0.00122189638318671
ctrx_quarter_normalizado_lag1	0.022535353270682	0.00915875594532322	0.00464320625610948
mcuentas_saldo_rank	0.0216220914838651	0.0157155975293914	0.0232160312805474
mtarjeta_visa_consumo_rank	0.0189902710554266	0.0102483879672687	0.00757575757575758
ccomisiones_mantenimiento_tend6	0.0186644252450229	0.0246984596284989	0.0136852394916911
mpasivos_margen_rank	0.0149604956249178	0.00737342588011104	0.00806451612903226
rf_008_005	0.0142531270305462	0.00353543787691762	0.00171065493646139
mcaja_ahorro_rank_lag1	0.0138748720895318	0.00559512019594009	0.00342130987292278
rf_016_007	0.0126911542997869	0.00384058033429197	0.00195503421309873
rf_018_006	0.0123560599547745	0.00375055118394688	0.00219941348973607
cproductos_tend6	0.0101763696293203	0.0181909225094534	0.0124633431085044
rf_019_007	0.00947649074816977	0.00171368137859164	0.000733137829912023
rf_006_004	0.00916187002483773	0.0034339188461551	0.00146627565982405
rf_007_002	0.00903333276905444	0.0011407093069453	0.000488758553274682
rf_003_005	0.00891734930149319	0.0180345464077023	0.00977517106549365
mcomisiones_mantenimiento_rank_tend6	0.00854355963802844	0.0161681683650477	0.0122189638318671
mpayroll_sobre_edad_rank	0.00834398062950727	0.0107491761613581	0.0102639296187683
foto_mes	0.00815722273672153	0.00765011959426841	0.0122189638318671
cproductos	0.00745270385847644	0.0138636027431546	0.0102639296187683
cprestamos_personales_tend6	0.00731137201648947	0.00258216247075579	0.00757575757575758
mcuentas_saldo_rank_tend6	0.00700254068215219	0.00768793417887369	0.010019550342131
ccomisiones_mantenimiento_delta1	0.0066085212383505	0.0123560534986895	0.00659824046920821
vm_mpagominimo_rank_lag1	0.00590071456512877	0.00609759758642267	0.00757575757575758
mcuenta_corriente_rank	0.00586668378056662	0.00476467110969917	0.00806451612903226
rf_016_002	0.00540602979847675	0.00507548324605679	0.00244379276637341
mpayroll_rank	0.00513769266833217	0.00603934539793077	0.00562072336265885
mcuentas_saldo_rank_delta1	0.00497701224227245	0.0133330278285071	0.010019550342131
mrentabilidad_annual_rank_delta1	0.00496513161656359	0.0143104202762438	0.010752688172043
mprestamos_personales_rank_lag1	0.00461714779609095	0.00279955033926506	0.00659824046920821
ctrx_quarter_lag1	0.00455151264452422	0.00284750010222983	0.00342130987292278
mpasivos_margen_rank_lag1	0.00430503157696084	0.00546975171907092	0.00733137829912024
rf_015_002	0.00425052960984701	0.00648405561670762	0.0041544477028348
cproductos_delta1	0.00423732159503676	0.0128105978509241	0.00782013685239492
rf_008_001	0.00416921022970765	0.00547997052101423	0.00293255131964809
