Feature	Gain	Cover	Frequency
rf_012_010	0.256491357008337	0.0180876431367383	0.0156862745098039
rf_008_005	0.0575971024782341	0.0125845953058605	0.0117647058823529
ctrx_quarter_normalizado	0.0567362575039584	0.0159749433478244	0.0156862745098039
rf_006_004	0.0552081486346231	0.00452043001528766	0.00392156862745098
mcaja_ahorro_rank	0.0513175108018915	0.0215873638330877	0.0196078431372549
rf_016_007	0.0511466732824039	0.00904341308039758	0.00784313725490196
cpayroll_trx	0.050743260058583	0.0265598879109006	0.0235294117647059
mtarjeta_visa_consumo_rank	0.0504121329859346	0.0215632630427656	0.0235294117647059
mpayroll_rank	0.0445079628202582	0.0257310658166032	0.0235294117647059
mcuentas_saldo_rank	0.037448610453451	0.0368757410227109	0.0352941176470588
rf_014_012	0.0351673246668592	0.0045263530908753	0.00392156862745098
rf_018_006	0.0344893624903055	0.0113652587107507	0.0117647058823529
rf_015_013	0.0223874070310171	0.00443668998111764	0.00784313725490196
vm_mpagominimo_rank_lag1	0.0149874256493827	0.0349512520666938	0.0352941176470588
mcaja_ahorro_rank_lag1	0.0118115440316513	0.0168551328045457	0.0196078431372549
cproductos	0.0116892147803842	0.0417607465526168	0.0470588235294118
cproductos_tend6	0.00954834331806286	0.0724256322117275	0.0627450980392157
mprestamos_personales_rank	0.00932890248975586	0.013618988971846	0.0117647058823529
ccomisiones_mantenimiento_tend6	0.00916420618018005	0.0218696290214364	0.0196078431372549
mcuentas_saldo_rank_tend6	0.00861677455481729	0.0326473799070894	0.0313725490196078
ctrx_quarter_normalizado_lag1	0.00785381729038631	0.0121614017673232	0.0117647058823529
mpasivos_margen_rank	0.00743435232332445	0.0115348833409414	0.0156862745098039
mrentabilidad_annual_rank_delta1	0.00742374003399942	0.0436443867114778	0.0431372549019608
Visa_msaldototal_rank	0.0069035827716932	0.00223085493468788	0.00392156862745098
mcuentas_saldo_rank_delta1	0.00594760356966564	0.0461327933122349	0.0470588235294118
cprestamos_personales	0.0056196298426972	0.00903217966117965	0.00784313725490196
kmes_lag1	0.00551277336351378	0.0288170903197542	0.0274509803921569
kmes_tend6	0.00519606369089622	0.0203287102707152	0.0196078431372549
mactivos_margen_rank_tend6	0.00479572774605026	0.0256540658339639	0.0274509803921569
foto_mes	0.00452834384482009	0.0158388147313017	0.0156862745098039
mprestamos_personales_rank_lag1	0.00417397698200983	0.00906455233292587	0.00784313725490196
mrentabilidad_annual_rank_lag1	0.00404973746390303	0.0121604826693872	0.0156862745098039
cprestamos_personales_lag1	0.00344481797709124	0.0181284919338944	0.0156862745098039
vm_mpagominimo_rank	0.00332332704251858	0.0135991773052253	0.0117647058823529
mcomisiones_mantenimiento_rank_tend6	0.00313695985065625	0.0167583211552857	0.0156862745098039
rf_012_011	0.00308809550640374	0.0317101042563425	0.0274509803921569
mactivos_margen_rank_lag1	0.00262985119412305	0.0218255123205078	0.0196078431372549
vm_mconsumototal_rank_tend6	0.00262224820289893	0.011903850101254	0.0117647058823529
mpasivos_margen_rank_lag1	0.00236129354256522	0.0064484932410559	0.00784313725490196
mrentabilidad_annual_rank	0.0023117765562523	0.0219962602926204	0.0235294117647059
ctrx_quarter_tend6	0.00218781878015068	0.0187634864856861	0.0196078431372549
ctarjeta_visa_transacciones_tend6	0.00215932148865777	0.0121257611918045	0.0117647058823529
vmr_mpagominimo	0.00207501294771364	0.0103140149159383	0.0156862745098039
vm_msaldototal_rank	0.00202004949120834	0.00454013955991548	0.00392156862745098
vmr_mpagominimo_lag1	0.00192219981471599	0.0045273743108042	0.00392156862745098
vm_Fvencimiento_lag1	0.00179698092708793	0.00697554484636257	0.00784313725490196
Master_fechaalta_lag1	0.00175013108844143	0.0114177494150963	0.0156862745098039
mpayroll_sobre_edad_rank	0.00158888064765846	0.00414206803162922	0.00392156862745098
cpayroll_trx_lag1	0.00142903771900047	0.00453911833998658	0.00392156862745098
ctrx_quarter_lag1	0.00118712343621866	0.00411806936330001	0.00392156862745098
ctarjeta_visa_transacciones	0.00111881236932806	0.00228753264074198	0.00392156862745098
vm_status05	0.00103152308738399	0.00667244677146426	0.00784313725490196
mrentabilidad_rank_tend6	0.000951623848394255	0.00405240492187157	0.00784313725490196
rf_013_006	0.00082421115507004	0.0129928790334358	0.0117647058823529
mactivos_margen_rank	0.00073253629388692	0.00734890285236938	0.00784313725490196
vm_status03	0.000681382482997778	0.00363472597095038	0.00392156862745098
vmr_msaldototal	0.000620305667775827	0.00338493557634079	0.00392156862745098
vmr_msaldototal_lag1	0.000600803777524692	0.00670635127310383	0.00784313725490196
vm_status04	0.000571397685706107	0.00377208005138779	0.00392156862745098
mcuenta_corriente_rank_tend6	0.000566516346637748	0.00909294224694936	0.00784313725490196
Visa_mconsumototal_rank_tend6	0.000554688637147838	0.00843313205088535	0.00784313725490196
Master_Fvencimiento	0.000543645488551069	0.00452451489500327	0.00392156862745098
mcuenta_corriente_rank	0.000418025475262016	0.00169890147372248	0.00392156862745098
mtarjeta_visa_consumo_rank_tend6	0.000368442005451106	0.00257633363663565	0.00392156862745098
Visa_cconsumos_tend6	0.000296287024423179	0.00249626999420968	0.00392156862745098
mtransferencias_recibidas_rank	0.000283756510774147	0.00385939435530897	0.00392156862745098
ctrx_quarter	0.000282822811223347	0.00451491542767159	0.00392156862745098
Master_fechaalta	0.000279422976049449	0.00453217404447004	0.00392156862745098
