envios	gan_sum_1	p_value
100	1383000	0.0000000353152680066888
200	2571000	0.0000000364592214443004
300	3693000	0.0000000360488265632587
400	4581000	0.0000000363305366659276
500	5484000	0.0000000366659456977609
600	6246000	0.0000000363305366659276
700	6996000	0.0000000366271070625778
800	7653000	0.0000000366271070625778
900	8169000	0.0000000363305366659276
1000	8517000	0.0000000362150599342886
1100	8943000	0.0000000365108067824878
1200	9228000	0.0000000363305366659276
1300	9474000	0.000000036304847398107
1400	9726000	0.0000000361254666029071
1500	9915000	0.0000000364076998118585
1600	10086000	0.0000000365366233620453
1700	10278000	0.0000000362406936704054
1800	10440000	0.0000000364979044718864
1900	10614000	0.00000003615104490887
2000	10680000	0.0000000363433872561467
2100	10746000	0.0000000364979044718864
2200	10827000	0.0000000359214089286085
2300	10893000	0.0000000365495376330834
2400	10953000	0.0000000366918581108705
2500	10992000	0.0000000364850061460149
2600	10938000	0.0000000366141688425387
2700	10905000	0.0000000539459048494816
2800	10920000	0.0000000365495376330834
2900	10848000	0.0000000536857950717032
3000	10845000	0.0000000364721118038331
3100	10851000	0.0000000534864545021308
3200	10758000	0.000000036317690046927
3300	10671000	0.0000000364592214443004
3400	10659000	0.0000000364334526690215
3500	10557000	0.0000000364334526690215
3600	10470000	0.0000000361382537780518
3700	10398000	0.0000000364592214443004
3800	10242000	0.0000000359468609176106
3900	10086000	0.0000000362022490095767
4000	9957000	0.0000000358197584147395
4100	9831000	0.0000000355037192292096
4200	9693000	0.000000036074357438374
4300	9588000	0.0000000363819628644964
4400	9462000	0.0000000366400492777658
4500	9354000	0.0000000364979044718864
4600	9225000	0.0000000362406936704054
4700	9078000	0.0000000363433872561467
4800	8961000	0.0000000364463350663764
4900	8811000	0.0000000362535164838828
5000	8625000	0.000000036074357438374
5100	8445000	0.0000000361382537780518
5200	8256000	0.0000000363819628644964
5300	8082000	0.0000000363562418186224
5400	7935000	0.0000000359850684550219
5500	7740000	0.000000036304847398107
5600	7530000	0.0000000362022490095767
5700	7326000	0.0000000363433872561467
5800	7167000	0.0000000361894420457143
5900	6987000	0.0000000361894420457143
6000	6789000	0.0000000362278748208862
6100	6603000	0.0000000362791740068581
6200	6390000	0.0000000362535164838828
6300	6189000	0.0000000351526515131866
6400	5997000	0.0000000359595928218617
6500	5820000	0.0000000363433872561467
6600	5640000	0.0000000365366233620453
6700	5445000	0.0000000364463350663764
6800	5226000	0.0000000363562418186224
6900	5043000	0.0000000363433872561467
7000	4872000	0.0000000359978121859947
7100	4695000	0.0000000363691003543927
7200	4473000	0.0000000361894420457143
7300	4254000	0.0000000358705521997342
7400	4038000	0.0000000357690275077208
7500	3795000	0.0000000359468609176106
7600	3561000	0.0000000362022490095767
7700	3342000	0.000000035857847855072
7800	3090000	0.0000000356551125235456
7900	2841000	0.0000000360233114818869
8000	2628000	0.0000000362278748208862
8100	2403000	0.0000000361254666029071
8200	2172000	0.0000000362535164838828
8300	1956000	0.0000000362022490095767
8400	1716000	0.0000000360999041154998
8500	1500000	0.0000000357310205515151
8600	1275000	0.0000000357563545979323
8700	1050000	0.0000000361126833824012
8800	810000	0.0000000357310205515151
8900	576000	0.0000000360360670488716
9000	324000	0.0000000361382537780518
9100	93000	0.0000000362278748208862
9200	-141000	0.0000000356172113963155
9300	-378000	0.0000000354785417202096
9400	-609000	0.0000000357436856128731
9500	-861000	0.000000036074357438374
9600	-1086000	0.0000000356298411905921
9700	-1329000	0.0000000357690275077208
9800	-1572000	0.0000000357690275077208
9900	-1806000	0.0000000357310205515151
10000	-2082000	0.000000035165137191974
