envios	gan_sum_1	p_value
100	1491000	0.0000000350529055197962
200	3201000	0.0000000351152177264834
300	3936000	0.0000000348417664773717
400	4533000	0.0000000338388705710234
500	5130000	0.0000000349037504655486
600	5847000	0.0000000352902073631108
700	6672000	0.0000000357183594128303
800	7497000	0.0000000364592214443004
900	8229000	0.0000000359723286673215
1000	8838000	0.0000000352651622668602
1100	9450000	0.0000000358832604783884
1200	9957000	0.0000000359850684550219
1300	10356000	0.0000000360360670488716
1400	10791000	0.0000000359723286673215
1500	11094000	0.0000000519924160422741
1600	11487000	0.0000000683999750736391
1700	11784000	0.00000163271387908282
1800	11946000	0.0000901672784338626
1900	12114000	0.0110650875641088
2000	12276000	0.930039006393016
2100	12420000	0.107199059390201
2200	12495000	0.00877258579691594
2300	12537000	0.00288351588876492
2400	12594000	0.00140420947383066
2500	12657000	0.0000916760686102696
2600	12648000	0.000145134278405096
2700	12636000	0.000112062878993017
2800	12663000	0.0000581538811594376
2900	12621000	0.000343801618534184
3000	12570000	0.00146349892132997
3100	12459000	0.0647315993418177
3200	12399000	0.271786270857784
3300	12339000	0.620307149297496
3400	12249000	0.38787559348743
3500	12153000	0.0741019267581218
3600	12096000	0.0106174596201436
3700	12006000	0.000687036690726559
3800	11892000	0.00000872656769110645
3900	11826000	0.00000462973868614322
4000	11751000	0.00000062342761250794
4100	11676000	0.000000181330222191298
4200	11580000	0.0000000867018135125122
4300	11481000	0.0000000716224344217557
4400	11391000	0.0000000469217768080516
4500	11268000	0.0000000524602399643569
4600	11145000	0.0000000357563545979323
4700	11034000	0.0000000356172113963155
4800	10899000	0.0000000357436856128731
4900	10749000	0.0000000351526515131866
5000	10608000	0.0000000354533798198509
5100	10440000	0.000000034965830836377
5200	10257000	0.0000000353905433030458
5300	10137000	0.0000000356551125235456
5400	9981000	0.0000000349782584876148
5500	9858000	0.0000000352526455464327
5600	9708000	0.0000000354156662176089
5700	9549000	0.0000000358070697957478
5800	9399000	0.0000000354533798198509
5900	9231000	0.0000000356298411905921
6000	9093000	0.0000000355289123550409
6100	8922000	0.0000000352151186837033
6200	8748000	0.0000000351776267474009
6300	8574000	0.0000000349409871140169
6400	8370000	0.0000000351027475440765
6500	8163000	0.0000000357310205515151
6600	7944000	0.0000000357563545979323
6700	7740000	0.0000000357563545979323
6800	7524000	0.0000000359595928218617
6900	7290000	0.000000035202617492247
7000	7086000	0.0000000354785417202096
7100	6870000	0.0000000356677540642746
7200	6648000	0.0000000361638399963964
7300	6420000	0.0000000359086888417951
7400	6204000	0.0000000359341329535367
7500	5979000	0.0000000359468609176106
7600	5775000	0.0000000355541211058964
7700	5550000	0.0000000355163138395096
7800	5328000	0.0000000352526455464327
7900	5079000	0.0000000353528881411549
8000	4836000	0.0000000351526515131866
8100	4623000	0.0000000349409871140169
8200	4398000	0.0000000350653602220977
8300	4161000	0.0000000341175903651509
8400	3909000	0.0000000352776828720798
8500	3675000	0.0000000347922485972318
8600	3450000	0.0000000356298411905921
8700	3228000	0.000000035202617492247
8800	2976000	0.0000000354031028123157
8900	2712000	0.0000000355415147768283
9000	2448000	0.0000000358451474433722
9100	2193000	0.0000000355541211058964
9200	1932000	0.0000000356803995225406
9300	1656000	0.0000000354659588194619
9400	1392000	0.0000000354533798198509
9500	1134000	0.0000000350778187929006
9600	864000	0.0000000351152177264834
9700	594000	0.000000034557877955189
9800	324000	0.0000000346933973894213
9900	54000	0.0000000348913459613555
10000	-219000	0.0000000346687229887196
