envios	gan_sum_1	p_value
100	1383000	0.0000000360360670488716
200	2571000	0.000000036176639041666
300	3693000	0.000000036176639041666
400	4581000	0.0000000366012346166055
500	5484000	0.0000000364979044718864
600	6246000	0.0000000365366233620453
700	6996000	0.0000000365108067824878
800	7653000	0.0000000361894420457143
900	8169000	0.0000000366918581108705
1000	8517000	0.0000000363305366659276
1100	8943000	0.0000000366012346166055
1200	9228000	0.0000000366400492777658
1300	9474000	0.0000000365366233620453
1400	9726000	0.0000000365624558930167
1500	9915000	0.0000000365366233620453
1600	10086000	0.0000000365624558930167
1700	10278000	0.000000036704820317453
1800	10440000	0.0000000364334526690215
1900	10614000	0.0000000534864545021308
2000	10680000	0.0000000489371601887134
2100	10746000	0.0000000405473143087695
2200	10827000	0.0000000492267993141958
2300	10893000	0.0000000696422244259964
2400	10953000	0.0000000868160423273002
2500	10992000	0.0000000974255267491994
2600	10938000	0.0000000721253657769325
2700	10905000	0.000000051372438920307
2800	10920000	0.0000000512304324571919
2900	10848000	0.0000000459538982879427
3000	10845000	0.000000051265901972391
3100	10851000	0.0000000474307614968447
3200	10758000	0.0000000426243909095839
3300	10671000	0.0000000457143255068178
3400	10659000	0.0000000454758427351845
3500	10557000	0.0000000407042881389633
3600	10470000	0.0000000391556982811328
3700	10398000	0.0000000363691003543927
3800	10242000	0.0000000364334526690215
3900	10086000	0.0000000364463350663764
4000	9957000	0.0000000361638399963964
4100	9831000	0.0000000364205742511952
4200	9693000	0.0000000363819628644964
4300	9588000	0.0000000361894420457143
4400	9462000	0.0000000363948293499721
4500	9354000	0.0000000361638399963964
4600	9225000	0.0000000362150599342886
4700	9078000	0.0000000355919635470313
4800	8961000	0.0000000362535164838828
4900	8811000	0.0000000359341329535367
5000	8625000	0.0000000364979044718864
5100	8445000	0.0000000365108067824878
5200	8256000	0.000000036317690046927
5300	8082000	0.0000000364205742511952
5400	7935000	0.000000036074357438374
5500	7740000	0.0000000362663432623549
5600	7530000	0.0000000363305366659276
5700	7326000	0.000000036176639041666
5800	7167000	0.000000036176639041666
5900	6987000	0.0000000365366233620453
6000	6789000	0.0000000359595928218617
6100	6603000	0.0000000362791740068581
6200	6390000	0.0000000358959726920654
6300	6189000	0.0000000360233114818869
6400	5997000	0.0000000362920087184296
6500	5820000	0.0000000354911285231179
6600	5640000	0.0000000364979044718864
6700	5445000	0.0000000362022490095767
6800	5226000	0.0000000366012346166055
6900	5043000	0.0000000363691003543927
7000	4872000	0.0000000364592214443004
7100	4695000	0.0000000364463350663764
7200	4473000	0.0000000359086888417951
7300	4254000	0.0000000356551125235456
7400	4038000	0.0000000362406936704054
7500	3795000	0.0000000362406936704054
7600	3561000	0.0000000354156662176089
7700	3342000	0.0000000357057021957913
7800	3090000	0.0000000357310205515151
7900	2841000	0.000000035857847855072
8000	2628000	0.0000000359086888417951
8100	2403000	0.000000036074357438374
8200	2172000	0.0000000359595928218617
8300	1956000	0.000000036074357438374
8400	1716000	0.0000000361382537780518
8500	1500000	0.0000000357436856128731
8600	1275000	0.0000000360615900260818
8700	1050000	0.0000000360488265632587
8800	810000	0.0000000359978121859947
8900	576000	0.0000000362022490095767
9000	324000	0.0000000361638399963964
9100	93000	0.0000000360615900260818
9200	-141000	0.0000000360615900260818
9300	-378000	0.0000000360488265632587
9400	-609000	0.000000035127691781459
9500	-861000	0.0000000359341329535367
9600	-1086000	0.0000000357183594128303
9700	-1329000	0.0000000356424748993268
9800	-1572000	0.0000000356298411905921
9900	-1806000	0.0000000354282335199475
10000	-2082000	0.0000000359468609176106
