envios	gan_sum_1	p_value
100	1515000	0.0000000354659588194619
200	3180000	0.0000000358832604783884
300	3951000	0.0000000352902073631108
400	4482000	0.0000000357183594128303
500	5091000	0.0000000362791740068581
600	5916000	0.0000000356551125235456
700	6744000	0.0000000358197584147395
800	7461000	0.0000000359595928218617
900	8205000	0.0000000362022490095767
1000	8781000	0.0000000360615900260818
1100	9375000	0.0000000360615900260818
1200	9855000	0.0000000355415147768283
1300	10251000	0.0000000359214089286085
1400	10629000	0.0000000362022490095767
1500	10965000	0.000000036074357438374
1600	11196000	0.0000000361382537780518
1700	11391000	0.000000035857847855072
1800	11673000	0.0000000621262880413716
1900	11865000	0.0000000849464844928976
2000	12027000	0.000000361510943805086
2100	12189000	0.00000535679382439261
2200	12264000	0.0000617068285205234
2300	12336000	0.000621843583980806
2400	12423000	0.0109930061146728
2500	12477000	0.055035751689301
2600	12510000	0.150386953463595
2700	12522000	0.147745545294813
2800	12516000	0.150900612361964
2900	12510000	0.142170627880225
3000	12477000	0.0666003706676483
3100	12438000	0.0180057005004728
3200	12411000	0.00907107216536038
3300	12330000	0.00116150982084735
3400	12222000	0.000147134147135023
3500	12162000	0.0000267592009025411
3600	12114000	0.00000718575131366455
3700	12030000	0.00000203595553727709
3800	11997000	0.000000565468111802009
3900	11919000	0.000000147641063353968
4000	11832000	0.0000000804260842143525
4100	11739000	0.0000000525265707085383
4200	11637000	0.0000000438126012169793
4300	11517000	0.0000000362150599342886
4400	11415000	0.0000000359468609176106
4500	11334000	0.0000000360233114818869
4600	11202000	0.0000000361894420457143
4700	11079000	0.0000000359850684550219
4800	11022000	0.0000000357690275077208
4900	10881000	0.0000000359086888417951
5000	10713000	0.0000000360615900260818
5100	10539000	0.0000000356424748993268
5200	10365000	0.0000000358959726920654
5300	10194000	0.0000000359468609176106
5400	10053000	0.0000000356424748993268
5500	9909000	0.0000000360360670488716
5600	9696000	0.0000000359086888417951
5700	9486000	0.0000000357310205515151
5800	9282000	0.0000000359468609176106
5900	9090000	0.0000000356803995225406
6000	8889000	0.00000003615104490887
6100	8703000	0.0000000357690275077208
6200	8517000	0.0000000359214089286085
6300	8325000	0.0000000361894420457143
6400	8115000	0.0000000360360670488716
6500	7938000	0.0000000352526455464327
6600	7773000	0.000000036176639041666
6700	7563000	0.0000000359850684550219
6800	7371000	0.0000000359341329535367
6900	7167000	0.0000000357817043432672
7000	6960000	0.0000000358451474433722
7100	6753000	0.0000000344964313732942
7200	6540000	0.0000000356677540642746
7300	6336000	0.0000000354282335199475
7400	6126000	0.0000000358070697957478
7500	5904000	0.0000000357436856128731
7600	5679000	0.0000000355919635470313
7700	5442000	0.0000000356298411905921
7800	5247000	0.0000000356424748993268
7900	5001000	0.0000000357690275077208
8000	4758000	0.0000000350653602220977
8100	4533000	0.0000000359468609176106
8200	4299000	0.0000000358959726920654
8300	4062000	0.0000000362150599342886
8400	3834000	0.0000000358197584147395
8500	3585000	0.0000000357436856128731
8600	3330000	0.0000000355541211058964
8700	3087000	0.0000000359723286673215
8800	2826000	0.0000000358959726920654
8900	2574000	0.0000000358959726920654
9000	2331000	0.0000000356424748993268
9100	2067000	0.0000000356424748993268
9200	1812000	0.0000000357436856128731
9300	1551000	0.0000000356677540642746
9400	1284000	0.0000000353654359684872
9500	1026000	0.0000000355163138395096
9600	768000	0.0000000359468609176106
9700	501000	0.0000000360105598612722
9800	234000	0.0000000360615900260818
9900	-39000	0.0000000360105598612722
10000	-288000	0.0000000351776267474009
