envios	gan_sum_1	p_value
100	1515000	0.0000000350031253752796
200	3180000	0.0000000354408047203538
300	3951000	0.000000035579345489973
400	4482000	0.0000000362150599342886
500	5091000	0.0000000360615900260818
600	5916000	0.0000000363305366659276
700	6744000	0.0000000358197584147395
800	7461000	0.000000036317690046927
900	8205000	0.0000000362791740068581
1000	8781000	0.0000000351152177264834
1100	9375000	0.0000000364205742511952
1200	9855000	0.0000000362278748208862
1300	10251000	0.0000000358705521997342
1400	10629000	0.0000000361254666029071
1500	10965000	0.0000000356172113963155
1600	11196000	0.0000000360360670488716
1700	11391000	0.0000000598360520937613
1800	11673000	0.000000302784042782842
1900	11865000	0.0000268632027205382
2000	12027000	0.00198592467306414
2100	12189000	0.219039714129077
2200	12264000	1
2300	12336000	0.415351958468204
2400	12423000	0.118492711654666
2500	12477000	0.0267691199538653
2600	12510000	0.00822154709463143
2700	12522000	0.00989154416407423
2800	12516000	0.00806576422128295
2900	12510000	0.00754227321865426
3000	12477000	0.0333077368353078
3100	12438000	0.132133802413264
3200	12411000	0.197842843991725
3300	12330000	0.73927885572502
3400	12222000	0.325474135116023
3500	12162000	0.117506911258155
3600	12114000	0.0361582626402361
3700	12030000	0.00780006445788409
3800	11997000	0.000756169960178015
3900	11919000	0.0000747175027731746
4000	11832000	0.0000040980269611097
4100	11739000	0.000000873685821000652
4200	11637000	0.000000221270278322494
4300	11517000	0.000000133680292184132
4400	11415000	0.0000000481943927879976
4500	11334000	0.0000000398544704063702
4600	11202000	0.0000000362150599342886
4700	11079000	0.0000000361638399963964
4800	11022000	0.0000000346071041007806
4900	10881000	0.0000000350653602220977
5000	10713000	0.0000000352776828720798
5100	10539000	0.0000000358070697957478
5200	10365000	0.000000035202617492247
5300	10194000	0.0000000356424748993268
5400	10053000	0.0000000356298411905921
5500	9909000	0.0000000348665485148322
5600	9696000	0.0000000356930488993706
5700	9486000	0.0000000351152177264834
5800	9282000	0.0000000353152680066888
5900	9090000	0.0000000355289123550409
6000	8889000	0.0000000355163138395096
6100	8703000	0.0000000354408047203538
6200	8517000	0.0000000351776267474009
6300	8325000	0.0000000356172113963155
6400	8115000	0.0000000354408047203538
6500	7938000	0.0000000352651622668602
6600	7773000	0.000000035579345489973
6700	7563000	0.0000000359341329535367
6800	7371000	0.0000000357817043432672
6900	7167000	0.0000000353027357409737
7000	6960000	0.000000036074357438374
7100	6753000	0.0000000357563545979323
7200	6540000	0.0000000358070697957478
7300	6336000	0.0000000357057021957913
7400	6126000	0.0000000357183594128303
7500	5904000	0.0000000359723286673215
7600	5679000	0.0000000359086888417951
7700	5442000	0.0000000358705521997342
7800	5247000	0.0000000359341329535367
7900	5001000	0.000000035857847855072
8000	4758000	0.0000000356677540642746
8100	4533000	0.0000000354408047203538
8200	4299000	0.0000000358070697957478
8300	4062000	0.0000000358197584147395
8400	3834000	0.0000000357183594128303
8500	3585000	0.0000000356298411905921
8600	3330000	0.0000000348541555704755
8700	3087000	0.0000000355667313432695
8800	2826000	0.0000000356172113963155
8900	2574000	0.0000000351152177264834
9000	2331000	0.0000000346440639323561
9100	2067000	0.0000000339840401438938
9200	1812000	0.0000000342393976633576
9300	1551000	0.0000000343860682255381
9400	1284000	0.0000000353528881411549
9500	1026000	0.0000000354911285231179
9600	768000	0.0000000356930488993706
9700	501000	0.0000000354408047203538
9800	234000	0.0000000356045855154702
9900	-39000	0.0000000351027475440765
10000	-288000	0.0000000348169998408712
