envios	gan_sum_1	p_value
100	1362000	0.0000000366141688425387
200	2691000	0.0000000363691003543927
300	4113000	0.0000000363433872561467
400	5511000	0.0000000363819628644964
500	6570000	0.0000000366271070625778
600	7413000	0.0000000364205742511952
700	8097000	0.0000000361894420457143
800	8631000	0.0000000365753781428868
900	9141000	0.0000000364076998118585
1000	9492000	0.0000000363948293499721
1100	9891000	0.0000000737411789811937
1200	10296000	0.00000654638656041416
1300	10629000	0.00377324542236922
1400	10953000	0.651999087570636
1500	11226000	0.0868138647395326
1600	11466000	0.00188159983554982
1700	11688000	0.00010984172776173
1800	11829000	0.00000937276644732352
1900	11940000	0.00000157674616506386
2000	12015000	0.00000063926322905263
2100	12120000	0.000000321068668653288
2200	12207000	0.000000248592787153692
2300	12222000	0.000000189905956619573
2400	12258000	0.0000001048707301442
2500	12300000	0.0000000974255267491994
2600	12258000	0.000000080372624915482
2700	12252000	0.0000000825516986072747
2800	12240000	0.0000000618731287662037
2900	12243000	0.0000000762366979427444
3000	12171000	0.000000121131354401444
3100	12162000	0.000000120262298036505
3200	12075000	0.00000024898030458384
3300	12039000	0.000000123670533676285
3400	12000000	0.000000369516872651297
3500	11922000	0.000000767797770960868
3600	11859000	0.00000185359073438712
3700	11757000	0.00000684893341846905
3800	11691000	0.0000323549683692185
3900	11601000	0.000137544577547766
4000	11496000	0.00136530885931405
4100	11337000	0.0169866296754926
4200	11220000	0.165645123251647
4300	11100000	0.571834224004282
4400	10929000	0.388048288661929
4500	10779000	0.113613096671437
4600	10650000	0.00920213256697997
4700	10539000	0.00133540300974767
4800	10413000	0.000132889649401467
4900	10278000	0.00000915511175556317
5000	10131000	0.00000136376930410061
5100	9969000	0.000000278709783308857
5200	9804000	0.0000000808331127767559
5300	9645000	0.0000000600575390123998
5400	9483000	0.0000000365108067824878
5500	9306000	0.000000036704820317453
5600	9153000	0.0000000365883043837358
5700	8985000	0.000000036317690046927
5800	8802000	0.0000000366141688425387
5900	8616000	0.0000000357310205515151
6000	8427000	0.0000000364721118038331
6100	8241000	0.000000036317690046927
6200	8040000	0.0000000364850061460149
6300	7851000	0.0000000362663432623549
6400	7644000	0.0000000365108067824878
6500	7440000	0.0000000366141688425387
6600	7233000	0.0000000363819628644964
6700	7002000	0.0000000364592214443004
6800	6786000	0.0000000365108067824878
6900	6570000	0.0000000364205742511952
7000	6342000	0.0000000364592214443004
7100	6165000	0.000000036304847398107
7200	5934000	0.0000000365495376330834
7300	5718000	0.000000036304847398107
7400	5487000	0.0000000361638399963964
7500	5247000	0.0000000362535164838828
7600	5019000	0.0000000360105598612722
7700	4791000	0.0000000363819628644964
7800	4572000	0.0000000366012346166055
7900	4323000	0.0000000364334526690215
8000	4113000	0.0000000362663432623549
8100	3882000	0.0000000363691003543927
8200	3642000	0.0000000364076998118585
8300	3405000	0.0000000364334526690215
8400	3180000	0.0000000362920087184296
8500	2928000	0.0000000364076998118585
8600	2682000	0.0000000363433872561467
8700	2445000	0.000000036317690046927
8800	2208000	0.0000000362406936704054
8900	1971000	0.0000000362535164838828
9000	1734000	0.0000000364334526690215
9100	1467000	0.000000036304847398107
9200	1233000	0.0000000362920087184296
9300	966000	0.0000000361382537780518
9400	723000	0.0000000355919635470313
9500	480000	0.0000000360999041154998
9600	228000	0.0000000356424748993268
9700	-9000	0.0000000359978121859947
9800	-279000	0.0000000358705521997342
9900	-546000	0.0000000356677540642746
10000	-777000	0.0000000359595928218617
