envios	gan_sum_1	p_value
100	1362000	0.0000000359086888417951
200	2691000	0.0000000359723286673215
300	4113000	0.0000000353905433030458
400	5511000	0.0000000356172113963155
500	6570000	0.0000000348913459613555
600	7413000	0.0000000355163138395096
700	8097000	0.0000000355415147768283
800	8631000	0.0000000360488265632587
900	9141000	0.0000000357436856128731
1000	9492000	0.0000000364334526690215
1100	9891000	0.0000000362406936704054
1200	10296000	0.0000000362920087184296
1300	10629000	0.0000000359723286673215
1400	10953000	0.0000000357690275077208
1500	11226000	0.0000000361382537780518
1600	11466000	0.0000000360999041154998
1700	11688000	0.0000000988728998385708
1800	11829000	0.000000158931249319111
1900	11940000	0.00000120203759853981
2000	12015000	0.00000416016265306615
2100	12120000	0.000041880931916938
2200	12207000	0.00111681715640689
2300	12222000	0.00179934652778159
2400	12258000	0.00332142327199117
2500	12300000	0.00989154416407423
2600	12258000	0.00284284301368818
2700	12252000	0.00493574136848324
2800	12240000	0.00447329171270507
2900	12243000	0.00433747415723858
3000	12171000	0.000460917960444741
3100	12162000	0.000390726473879015
3200	12075000	0.0000247895310321487
3300	12039000	0.0000155813500855524
3400	12000000	0.000017591807699817
3500	11922000	0.00000303691030916925
3600	11859000	0.00000146257259254789
3700	11757000	0.000000850040952540116
3800	11691000	0.000000484403703786512
3900	11601000	0.000000354554140003581
4000	11496000	0.000000115915415223242
4100	11337000	0.0000000495700673981361
4200	11220000	0.0000000489711581025647
4300	11100000	0.0000000390868283210892
4400	10929000	0.0000000392108705311387
4500	10779000	0.0000000386076938439639
4600	10650000	0.0000000389082613142034
4700	10539000	0.0000000532877588444539
4800	10413000	0.0000000363948293499721
4900	10278000	0.000000036304847398107
5000	10131000	0.0000000359595928218617
5100	9969000	0.0000000361254666029071
5200	9804000	0.0000000356551125235456
5300	9645000	0.0000000363433872561467
5400	9483000	0.0000000358451474433722
5500	9306000	0.0000000364721118038331
5600	9153000	0.0000000362535164838828
5700	8985000	0.0000000361894420457143
5800	8802000	0.0000000358070697957478
5900	8616000	0.0000000361126833824012
6000	8427000	0.000000036074357438374
6100	8241000	0.0000000361638399963964
6200	8040000	0.0000000356172113963155
6300	7851000	0.0000000358959726920654
6400	7644000	0.0000000360360670488716
6500	7440000	0.000000036317690046927
6600	7233000	0.0000000362920087184296
6700	7002000	0.0000000362535164838828
6800	6786000	0.0000000358705521997342
6900	6570000	0.000000036074357438374
7000	6342000	0.0000000358959726920654
7100	6165000	0.0000000360233114818869
7200	5934000	0.0000000356930488993706
7300	5718000	0.0000000359723286673215
7400	5487000	0.0000000357183594128303
7500	5247000	0.0000000359978121859947
7600	5019000	0.0000000362535164838828
7700	4791000	0.0000000362022490095767
7800	4572000	0.0000000361894420457143
7900	4323000	0.0000000358959726920654
8000	4113000	0.0000000363305366659276
8100	3882000	0.0000000355415147768283
8200	3642000	0.0000000358451474433722
8300	3405000	0.0000000359214089286085
8400	3180000	0.00000003615104490887
8500	2928000	0.0000000362150599342886
8600	2682000	0.000000036304847398107
8700	2445000	0.0000000362663432623549
8800	2208000	0.000000036074357438374
8900	1971000	0.00000003615104490887
9000	1734000	0.0000000357436856128731
9100	1467000	0.0000000356677540642746
9200	1233000	0.0000000359086888417951
9300	966000	0.0000000359086888417951
9400	723000	0.0000000355037192292096
9500	480000	0.0000000352651622668602
9600	228000	0.0000000353528881411549
9700	-9000	0.0000000357183594128303
9800	-279000	0.0000000360360670488716
9900	-546000	0.0000000353278041612768
10000	-777000	0.0000000356172113963155
