fecha	rank	iteracion_bayesiana	qsemillas	semilla	corte	ganancia	metrica
20241012.151733	1	14	1	897191	1600	5.319	5.319
20241012.151740	1	14	1	897191	1700	5.339	5.339
20241012.151747	1	14	1	897191	1800	5.469	5.469
20241012.151753	1	14	1	897191	1900	5.969	5.969
20241012.151759	1	14	1	897191	2000	6.439	6.439
20241012.151806	1	14	1	897191	2100	6.059	6.059
20241012.151812	1	14	1	897191	2200	5.729	5.729
20241012.151818	1	14	1	830741	1600	4.089	4.089
20241012.151825	1	14	1	830741	1700	4.989	4.989
20241012.151831	1	14	1	830741	1800	4.739	4.739
20241012.151838	1	14	1	830741	1900	4.419	4.419
20241012.151844	1	14	1	830741	2000	4.199	4.199
20241012.151850	1	14	1	830741	2100	3.819	3.819
20241012.151856	1	14	1	830741	2200	3.989	3.989
20241012.151902	1	14	1	691001	1600	7.239	7.239
20241012.151909	1	14	1	691001	1700	7.009	7.009
20241012.151915	1	14	1	691001	1800	6.709	6.709
20241012.151921	1	14	1	691001	1900	6.879	6.879
20241012.151928	1	14	1	691001	2000	6.929	6.929
20241012.151934	1	14	1	691001	2100	6.629	6.629
20241012.151941	1	14	1	691001	2200	6.349	6.349
20241012.151947	1	14	1	547471	1600	4.639	4.639
20241012.151954	1	14	1	547471	1700	5.149	5.149
20241012.152000	1	14	1	547471	1800	5.309	5.309
20241012.152006	1	14	1	547471	1900	5.439	5.439
20241012.152012	1	14	1	547471	2000	5.499	5.499
20241012.152019	1	14	1	547471	2100	5.199	5.199
20241012.152025	1	14	1	547471	2200	4.899	4.899
20241012.152031	1	14	1	885769	1600	3.839	3.839
20241012.152037	1	14	1	885769	1700	3.489	3.489
20241012.152044	1	14	1	885769	1800	3.589	3.589
20241012.152050	1	14	1	885769	1900	3.309	3.309
20241012.152056	1	14	1	885769	2000	4.209	4.209
20241012.152102	1	14	1	885769	2100	4.339	4.339
20241012.152108	1	14	1	885769	2200	4.449	4.449
20241012.152114	1	14	1	517861	1600	4.639	4.639
20241012.152121	1	14	1	517861	1700	4.299	4.299
20241012.152127	1	14	1	517861	1800	3.989	3.989
20241012.152133	1	14	1	517861	1900	3.679	3.679
20241012.152140	1	14	1	517861	2000	4.249	4.249
20241012.152146	1	14	1	517861	2100	4.759	4.759
