envios	rank	gan_sum	m1	m2	m3	m4	m5	m6	m7	m8	m9	m10	m11	m12	m13	m14	m15	m16	m17	m18	m19	m20
9000	1	56.994	56.707	57.487	57.837	56.277	56.837	56.257	58.317	55.407	56.687	57.457	55.807	57.747	57.227	57.127	57.787	58.187	56.607	56.607	56.657	56.867
9500	1	57.104	56.727	57.967	57.487	57.187	58.507	54.797	57.407	54.827	57.087	57.517	55.527	58.177	58.027	57.297	57.427	56.897	56.687	57.457	56.607	58.477
10000	1	57.028	56.697	58.427	56.737	56.457	58.397	55.607	56.387	56.077	57.257	57.087	55.697	58.157	56.977	57.467	57.327	57.287	56.887	57.137	57.077	57.427
10500	1	57.277	56.927	56.827	56.807	56.567	58.427	56.277	56.457	57.837	56.477	58.387	55.807	58.277	56.997	57.547	58.277	57.567	58.757	57.257	57.897	56.177
11000	1	57.173	55.727	57.707	56.387	57.417	58.907	56.227	56.107	57.227	56.197	58.167	55.567	57.227	57.947	57.797	57.547	58.067	58.427	58.117	57.257	55.447
11500	1	57.177	56.667	57.507	55.747	58.347	58.187	57.197	57.027	56.847	56.627	57.507	54.907	58.517	56.767	57.797	57.177	57.087	58.747	57.727	57.417	55.747
12000	1	56.963	55.687	58.077	55.587	58.937	57.587	57.637	56.437	57.297	56.747	57.227	55.567	57.747	56.267	57.457	57.227	56.187	58.027	56.997	56.707	55.857
12500	1	56.934	54.997	57.477	56.427	58.527	57.277	57.297	56.527	57.147	55.967	56.577	56.847	58.267	56.317	57.997	57.007	56.577	57.337	56.717	57.307	56.087
13000	1	57.004	55.467	56.717	55.487	57.847	57.847	57.137	57.087	56.007	55.857	56.887	56.517	57.047	57.157	57.677	57.127	57.077	58.737	57.637	57.907	56.857
