envios	rank	gan_sum	m1	m2	m3	m4	m5	m6	m7	m8	m9	m10	m11	m12	m13	m14	m15	m16	m17	m18	m19	m20
9000	1	57.1375	55.417	57.047	57.407	59.217	56.677	55.757	55.787	56.757	57.317	56.917	56.647	56.847	55.707	56.257	58.337	57.337	58.187	58.777	58.387	57.967
9500	1	57.5725	55.917	57.917	57.497	58.927	57.087	55.907	56.097	56.187	58.787	57.157	57.137	58.927	55.827	57.577	57.997	57.517	57.547	59.367	59.477	58.597
10000	1	57.768	56.027	57.097	57.727	58.857	56.987	56.377	57.337	57.097	59.367	58.087	56.987	58.917	58.087	58.137	57.427	57.337	58.277	58.287	58.527	58.417
10500	1	57.950	54.967	57.317	58.267	59.107	56.177	58.217	57.827	58.667	58.337	58.307	56.707	58.987	59.827	57.317	57.587	57.507	58.427	58.607	58.267	58.577
11000	1	58.219	54.487	56.687	58.067	58.777	57.187	59.237	58.607	58.597	58.527	57.917	56.007	59.477	60.887	59.087	58.917	57.627	57.807	58.647	58.837	58.997
11500	1	58.180	55.347	55.947	58.197	59.297	57.617	59.547	57.637	58.377	58.657	57.367	57.027	59.707	59.787	59.327	60.237	57.267	57.047	58.027	58.527	58.657
12000	1	58.025	56.477	54.947	56.647	59.787	57.197	59.737	57.397	58.177	58.617	57.197	56.617	59.447	59.127	58.587	59.077	58.537	57.457	58.117	58.687	58.667
12500	1	58.011	56.097	54.047	56.687	59.947	57.277	60.177	57.127	59.087	58.427	57.647	56.397	59.267	58.307	59.027	59.007	58.787	56.317	57.477	60.017	59.097
13000	1	57.8075	56.737	55.027	56.807	59.937	57.377	59.777	56.587	59.627	56.997	56.877	56.877	58.427	57.567	58.827	58.807	57.767	56.817	57.367	59.147	58.797
