envios	rank	gan_sum	m1	m2	m3	m4	m5	m6	m7	m8	m9	m10	m11	m12	m13	m14	m15	m16	m17	m18	m19	m20
9000	1	57.905	58.397	57.287	57.517	58.837	57.127	57.437	57.227	58.037	57.277	58.907	58.567	58.107	57.507	58.047	57.757	58.857	59.277	57.637	55.927	58.367
9500	1	58.075	57.897	58.037	57.467	57.927	57.797	57.027	56.877	58.047	57.717	58.057	59.197	58.217	58.287	57.897	56.977	60.017	58.597	58.837	56.667	59.967
10000	1	58.012	57.167	57.717	57.847	57.437	60.007	57.377	57.277	58.097	57.087	58.567	59.737	58.287	57.497	57.607	56.567	59.737	57.917	58.827	56.707	58.777
10500	1	57.817	57.247	56.547	58.857	56.787	60.567	57.727	57.777	57.857	56.327	57.927	58.897	57.967	58.467	58.127	56.387	59.167	57.197	57.587	57.307	57.617
11000	1	57.962	57.337	56.637	58.887	57.197	60.207	59.027	58.387	58.717	57.547	58.057	58.267	57.587	57.317	58.587	56.477	58.817	57.827	58.127	57.367	56.877
11500	1	58.192	57.357	57.447	58.987	58.587	60.977	59.087	58.407	58.887	57.967	56.897	58.817	58.027	58.317	58.897	56.227	59.317	58.597	57.797	57.027	56.227
12000	1	57.898	57.887	57.027	59.017	56.987	59.937	58.747	58.107	58.877	57.307	56.637	58.137	57.987	58.507	58.697	55.647	58.927	58.417	56.947	55.857	58.307
12500	1	57.705	57.177	56.607	58.657	58.307	59.437	57.667	58.197	58.957	57.417	55.927	57.507	57.567	59.487	58.737	56.507	57.987	57.717	55.817	56.477	57.947
13000	1	57.186	56.437	56.407	57.967	58.387	59.017	57.367	57.147	57.867	57.127	56.577	56.007	57.427	59.047	58.207	56.237	56.437	57.827	55.547	55.837	56.857
