envios	rank	gan_sum	m1	m2	m3	m4	m5	m6	m7	m8	m9	m10	m11	m12	m13	m14	m15	m16	m17	m18	m19	m20
9000	1	56.891	56.857	56.087	57.547	56.597	53.657	56.367	57.157	57.717	58.747	57.237	57.797	57.207	57.497	56.647	55.067	57.527	56.327	55.497	56.737	59.557
9500	1	57.708	55.817	58.167	58.937	56.777	54.577	57.097	57.647	57.787	58.447	59.117	57.947	57.837	59.937	58.327	58.227	56.797	57.597	56.147	56.127	60.857
10000	1	58.296	56.807	59.857	59.017	57.737	56.487	57.847	59.577	58.747	58.647	59.747	59.377	58.607	59.447	58.057	58.337	57.317	57.987	55.797	55.507	61.017
10500	1	58.651	57.577	58.927	59.087	57.407	58.457	58.057	59.797	58.477	58.047	59.557	60.537	57.007	60.057	60.457	59.257	57.847	58.127	56.797	57.187	60.357
11000	1	58.769	57.237	59.427	59.797	57.077	59.487	57.547	60.267	56.977	58.107	60.067	60.097	58.747	59.267	60.597	59.187	57.497	57.477	57.657	58.477	60.387
11500	1	58.793	56.977	62.067	59.647	56.737	60.047	57.217	59.777	57.897	57.967	60.147	59.207	57.987	58.657	59.457	58.977	57.277	57.927	58.567	58.997	60.327
12000	1	59.080	57.947	62.267	60.177	57.627	60.577	57.487	60.367	58.087	58.767	59.527	58.507	58.907	57.987	59.617	59.547	57.907	57.527	59.947	58.677	60.157
12500	1	58.688	56.847	61.577	58.667	56.357	60.457	56.997	60.537	57.477	58.487	58.767	58.287	58.237	58.507	58.737	59.627	56.287	57.797	61.627	59.487	59.007
13000	1	58.733	56.417	60.947	58.617	57.417	60.547	57.877	60.047	58.507	58.967	59.317	58.447	57.687	58.717	58.487	59.317	55.757	58.337	61.327	58.797	59.137
