envios	rank	gan_sum	m1	m2	m3	m4	m5	m6	m7	m8	m9	m10	m11	m12	m13	m14	m15	m16	m17	m18	m19	m20
9000	1	52.693	56.707	53.487	52.467	52.207	49.997	52.037	51.907	50.847	53.307	53.317	52.627	52.757	50.897	51.627	54.027	53.307	53.247	52.687	54.597	51.807
9500	1	52.991	56.867	53.187	53.737	52.987	50.957	52.297	52.387	50.247	53.187	52.367	53.107	52.757	51.977	54.197	53.317	53.827	53.307	53.337	54.317	51.457
10000	1	53.355	56.307	53.007	53.867	53.187	50.667	53.207	53.027	50.857	53.667	51.857	52.967	53.397	53.967	55.417	52.177	54.507	52.577	55.837	55.497	51.107
10500	1	53.486	55.667	54.127	54.027	52.467	52.297	53.737	53.307	52.337	53.667	51.507	52.907	52.957	53.387	55.487	53.047	54.857	51.597	55.157	54.487	52.697
11000	1	53.496	55.547	53.347	54.717	52.217	52.347	53.277	52.347	53.317	53.627	51.757	52.907	52.667	54.307	54.057	52.757	54.567	52.167	55.627	54.707	53.657
11500	1	53.553	54.647	52.827	54.427	52.287	53.387	51.947	54.647	54.257	53.467	51.837	53.487	51.637	54.717	54.307	53.737	54.327	51.837	54.457	53.717	55.107
12000	1	53.459	54.327	52.797	52.907	52.767	53.057	52.487	53.967	54.257	54.457	51.737	52.427	52.067	54.137	53.277	54.047	53.277	53.017	55.057	54.977	54.147
12500	1	53.321	53.977	53.277	51.557	51.617	52.487	52.567	53.307	55.147	55.407	52.247	51.487	51.447	53.727	53.767	53.417	53.587	54.297	54.297	54.277	54.537
13000	1	53.165	53.547	52.607	51.007	52.177	52.447	51.877	52.997	56.197	55.137	51.617	52.487	51.717	53.047	54.667	53.607	52.897	53.787	54.407	53.227	53.857
