envios	rank	gan_sum	m1	m2	m3	m4	m5	m6	m7	m8	m9	m10	m11	m12	m13	m14	m15	m16	m17	m18	m19	m20
9000	1	57.086	58.087	55.877	56.987	58.757	57.157	56.607	55.647	57.417	56.987	57.387	55.877	57.747	55.437	59.157	57.507	58.587	56.667	55.707	57.067	57.057
9500	1	57.078	57.767	57.567	57.137	58.037	58.017	56.317	56.387	57.557	56.267	57.537	55.887	58.747	54.727	59.687	57.277	57.107	56.837	55.907	56.237	56.557
10000	1	57.454	57.077	59.647	57.767	57.797	57.817	57.397	58.097	57.477	56.087	56.437	57.237	58.487	56.477	59.317	57.487	56.937	57.357	56.927	56.497	56.757
10500	1	57.3225	56.497	59.327	57.817	56.727	58.217	57.087	57.767	56.397	56.187	57.407	56.897	57.747	55.747	58.727	57.607	56.647	57.457	57.787	57.617	56.787
11000	1	57.102	56.797	60.247	57.867	55.567	58.217	56.517	57.467	55.467	55.917	57.517	56.657	56.477	55.337	57.507	58.057	57.507	57.967	56.687	57.327	56.937
11500	1	57.0575	55.567	58.727	58.047	56.097	57.197	55.817	56.467	55.557	56.787	57.987	57.037	56.997	56.627	57.067	56.937	58.687	57.707	56.457	57.857	57.527
12000	1	57.000	56.957	58.057	58.127	56.497	57.677	56.697	56.527	55.697	56.617	56.887	56.397	57.507	55.577	57.047	57.487	58.457	57.057	55.777	57.987	56.967
12500	1	57.2585	57.697	58.247	57.667	57.357	57.857	57.987	56.687	57.517	56.467	57.307	55.397	57.717	56.237	56.357	57.177	57.517	56.677	56.207	58.847	58.247
13000	1	57.267	56.237	58.017	56.577	57.047	58.437	57.327	57.097	58.147	56.887	59.147	55.667	57.067	56.467	57.637	57.667	56.937	57.837	56.647	57.347	57.147
