envios	rank	gan_sum	m1	m2	m3	m4	m5	m6	m7	m8	m9	m10	m11	m12	m13	m14	m15	m16	m17	m18	m19	m20
9000	1	56.891	56.287	56.567	56.797	56.687	56.897	58.277	56.717	55.807	56.067	56.927	55.017	57.087	56.157	57.537	56.347	57.687	58.207	58.127	55.857	58.767
9500	1	57.1765	56.747	56.697	58.147	57.987	57.107	57.667	57.547	57.057	55.927	56.917	55.027	57.067	55.987	57.607	58.137	57.507	57.987	57.077	57.167	58.167
10000	1	57.1675	55.987	57.307	57.187	57.637	57.867	56.957	57.697	57.897	57.267	56.277	56.247	56.877	55.627	56.867	56.627	57.697	57.597	57.087	57.887	58.757
10500	1	57.703	56.797	57.007	57.637	58.477	57.927	56.457	58.197	58.347	57.317	58.017	56.327	58.467	56.167	58.187	57.597	58.487	58.207	56.127	59.297	59.017
11000	1	57.590	56.517	57.037	57.777	57.497	58.477	56.657	57.597	57.257	58.477	58.007	55.767	57.707	55.797	57.417	58.557	59.337	57.387	56.317	58.947	59.267
11500	1	57.589	57.047	57.787	58.357	56.857	57.417	57.797	57.007	55.707	59.107	57.687	55.897	58.317	56.727	57.477	58.647	59.507	56.717	56.417	58.357	58.947
12000	1	57.6085	57.707	57.107	57.647	57.057	56.697	57.977	56.287	57.717	58.527	57.027	55.627	57.747	58.157	57.167	58.937	59.167	56.997	57.797	57.837	58.987
12500	1	57.4845	56.997	58.067	57.537	57.217	57.517	58.557	56.797	58.017	57.867	58.137	54.857	56.747	58.307	57.387	58.917	58.307	56.827	57.447	56.747	57.437
13000	1	57.2435	57.017	58.557	57.677	57.077	56.797	57.917	56.347	56.407	57.887	57.567	54.977	56.387	58.007	57.577	58.697	58.027	56.237	57.187	57.707	56.817
