fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	is_unbalance	scale_pos_weight	drop_rate	max_drop	skip_drop	extra_trees	learning_rate	feature_fraction	min_data_in_leaf	seed	num_leaves	estimulos	qsemillas	ganancia	metrica	iteracion_bayesiana
20241007.161454	627	60460	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	101	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.2	0.5	80	662287	69	2439	1	12058960.0997506	12058960.0997506	23
20241007.161522	627	60460	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	101	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.2	0.5	80	662287	69	2439	1	12058960.0997506	12058960.0997506	24
20241007.161550	627	60460	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	101	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.2	0.5	80	662287	69	2439	1	12058960.0997506	12058960.0997506	25
20241007.161618	627	60460	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	101	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.2	0.5	80	662287	69	2439	1	12058960.0997506	12058960.0997506	26
20241007.161647	627	60460	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	101	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.2	0.5	80	662287	69	2439	1	12058960.0997506	12058960.0997506	27
20241007.161716	627	60460	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	101	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.2	0.5	80	662287	69	2439	1	12058960.0997506	12058960.0997506	28
20241007.161743	627	60460	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	101	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.2	0.5	80	662287	69	2439	1	12058960.0997506	12058960.0997506	29
20241007.161813	627	60460	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	101	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.2	0.5	80	662287	69	2439	1	12058960.0997506	12058960.0997506	30
20241007.161841	627	60460	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	101	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.2	0.5	80	662287	69	2439	1	12058960.0997506	12058960.0997506	31
20241007.161910	627	60460	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	101	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.2	0.5	80	662287	69	2439	1	12058960.0997506	12058960.0997506	32
